100156,6-01-09,378,Greens,456.00,79.80,535.80
100158,9-01-09,178,Tekno Company,1580.00,118.50,1698.50
100164,10-01-09,294,Smith & Co,900.00,157.50,"1,057.50"
100167,10-01-09,345,J Jones,"1,345.00",235.38,"1,580.38"
100168,12-01-09,387,CIA Training Ltd,345.50,60.46,405.96
100170,13-01-09,294,Smith & Co,500.00,87.50,587.50
100172,15-01-09,187,White & Sons,275.00,48.13,323.13
100173,15-01-09,202,IC & JC Inc,"2,150.00",376.25,"2,526.25"
100175,18-01-09,134,The Studio,"6,700.00","1,172.50","7,872.50"
100176,23-01-09,198,Car Mart,378.00,66.15,444.15
100178,25-01-09,178,Tekno Company,1580.00,118.50,1698.50

